period,revenue,operating_income,net_income,operating_cash_flow,capex,free_cash_flow,source_ids
2025Q1,7669450484.82,1111917007.85,923470482.08,467558178.15,unavailable,unavailable,E-002
2025Q2,8593336963.63,1430679796.11,1214640729.36,807848692.55,unavailable,unavailable,E-002
2025Q3,7766526004.86,1369323322.98,1150970829.68,1782876645.96,unavailable,unavailable,E-002
2025Q4,6982431056.96,947374503.25,817607826.31,2032479201.32,unavailable,unavailable,E-001
2026Q1,7773555419.29,1124812349.21,950867700.26,1105790187.12,unavailable,unavailable,E-002

