period,revenue,operating_income,net_income,operating_cash_flow,capex,free_cash_flow,source_ids
2025Q1,160415051000,5907186000,5251566000,1299139000,unavailable,unavailable,E-002
2025Q2,200344602000,8160055000,6886324000,107891000,unavailable,unavailable,E-002
2025Q3,243171777000,12230408000,10383682000,-5547598000,unavailable,unavailable,E-002
2025Q4,298955758000,14748985000,12807490000,9378480000,unavailable,unavailable,E-001
2026Q1,251078078000,12333601000,10596519000,25024028000,unavailable,unavailable,E-003
