period,revenue,operating_income,net_income,operating_cash_flow,capex,free_cash_flow,source_ids
2025Q1,25935464215.71,2173521774.82,1460716873.99,2526194197.91,unavailable,unavailable,E-002
2025Q2,30830431139.97,3309098323.13,2412645353.62,7976706266.73,unavailable,unavailable,E-002
2025Q3,27017278703.76,2100701149.52,1543397330.77,4693114982.87,unavailable,unavailable,E-002
2025Q4,20504217523.68,1805361212.55,1210134094.70,6296739396.05,unavailable,unavailable,E-001
2026Q1,32515977242.33,3636452811.64,2439037630.58,6095416233.22,unavailable,unavailable,E-003
