period,revenue,operating_income,net_income,operating_cash_flow,capex,free_cash_flow,source_ids
2025Q1,1909062290.61,233950165.81,239724954.38,335849288.78,unavailable,unavailable,E-002
2025Q2,2241246342.27,363823634.42,348109807.87,621971642.69,unavailable,unavailable,E-002
2025Q3,2681325810.90,527148040.30,516565086.77,837824687.58,unavailable,unavailable,E-002
2025Q4,2371828680.80,590621064.20,572944708.31,332858593.44,unavailable,unavailable,E-001
2026Q1,4188075574.04,1621456006.20,1472515257.26,1783057278.72,unavailable,unavailable,E-003
